language,Content type New site,URL Category OLD site,New site taxonomy: Jewish Agency Vocabulary (Main Category),article type,News type,NewsTags,P2GSchoolCurriculumLessonPlanEnrichment/Lesson Plan,P2GedTypeOfResource,P2GedBaskets,P2GedTag,P2GSchoolAudiences,P2GSchoolLengthOfActivity,P2GSchoolContent,P2GedJewishMonths,years,number of pages,URL Category OLD site
English,Article,/Compelling Content/Eye+on+Israel/Aliyah,Historical Aliyah,educational materials,,,,,,,,,,,,10,Compelling Content/Eye+on+Israel/Aliyah
English,Article,/Compelling Content/Eye+on+Israel/Aliyah/40,Russian Aliyah,educational materials,,,,,,,,,,,,40,Compelling Content/Eye+on+Israel/Aliyah/40
English,Article,/Compelling Content/Eye+on+Israel/Conversion+Controversy,Conversion,educational materials,,,,,,,,,,,,10,Compelling Content/Eye+on+Israel/Conversion+Controversy
English,Article,/Compelling Content/Eye+on+Israel/Current+Issues/Misc,Education,educational materials,,,,,,,,,,,,1,Compelling Content/Eye+on+Israel/Misc
English,Article,/Compelling Content/Eye+on+Israel/Current+Issues/Rabin,Rabin,educational materials,,,,,,,,,,,,35,Compelling Content/Eye+on+Israel/Rabin
English,Article,/Compelling Content/Eye+on+Israel/Current+Issues/Terror,Peace & Conflict,educational materials,,,,,,,,,,,,10,Compelling Content/Eye+on+Israel/Terror
English,Article,/Compelling Content/Eye+on+Israel/Demography,Demography,educational materials,,,,,,,,,,,,2,Compelling Content/Eye+on+Israel/Demography
English,Article,/Compelling Content/Eye+on+Israel/gallery+of+people+(biographies),Leaders,educational materials,,,,,,,,,,,,23,Compelling Content/Eye+on+Israel/gallery+of+people+(biographies)
English,Article,/Compelling Content/Eye+on+Israel/Glossary,Zionism,educational materials,,,,,,,,,,,,1,Compelling Content/Eye+on+Israel/Glossary
English,Article,/Compelling Content/Eye+on+Israel/Israel+Diaspora+Relationships,Israel Diaspora Relations,educational materials,,,,,,,,,,,,12,Compelling Content/Eye+on+Israel/Israel+Diaspora+Relationships
English,Article,/Compelling Content/Eye+on+Israel/israeli+culture,Israeli Culture,educational materials,,,,,,,,,,,,14,Compelling Content/Eye+on+Israel/israeli+culture
English,Article,/Compelling Content/Eye+on+Israel/places+in+israel,Places in Israel,educational materials,,,,,,,,,,,,22,Compelling Content/Eye+on+Israel/places+in+israel
English,Article,/Compelling Content/Eye+on+Israel/society,Society & Politics,educational materials,,,,,,,,,,,,7,Compelling Content/Eye+on+Israel/society
English,Article,/Compelling Content/Eye+on+Israel/story_zionism,Zionism,educational materials,,,,,,,,,,,,16,Compelling Content/Eye+on+Israel/story_zionism
