language,Content type New site,URL Category OLD site,New site taxonomy: Jewish Agency Vocabulary (Main Category),article type,News type,NewsTags,P2GSchoolCurriculumLessonPlanEnrichment/Lesson Plan,P2GedTypeOfResource,P2GedBaskets,P2GedTag,P2GSchoolAudiences,P2GSchoolLengthOfActivity,P2GSchoolContent,P2GedJewishMonths,years,number of pages,URL Category OLD site
Russian,Article,/Festivals/Yom+HaShoah,Holocaust Memorial Day,educational materials,,,,,,,,,,,,,Festivals/Yom+HaShoah
Russian,Article,/Festivals/Yom+HaZikaron,Remembrance Day,educational materials,,,,,,,,,,,,,Festivals/Yom+HaZikaron
Russian,Article,/Festivals/Yom+Yerushalaim,Jerusalem Day,educational materials,,,,,,,,,,,,,Festivals/Yom+Yerushalaim
Russian,Article,/Nehama,Nechama Leibowitz,educational materials,,,,,,,,,,,,,Nehama
Russian,Article,/Nehama/bereishit,Genesis,educational materials,,,,,,,,,,,,,Nehama/bereishit
Russian,Article,/Nehama/shmot,Exodus,educational materials,,,,,,,,,,,,,Nehama/shmot
Russian,Article,/Nehama/vayikra,Leviticus,educational materials,,,,,,,,,,,,,Nehama/vayikra
Russian,Article,/Nehama/bamidbar,Numbers,educational materials,,,,,,,,,,,,,Nehama/bamidbar
Russian,Article,/Nehama/dvarim,Deuteronomy,educational materials,,,,,,,,,,,,,Nehama/dvarim
Russian,Article,/Culture,Israeli Culture,educational materials,,,,,,,,,,,,,Culture
Russian,Article,/Israel,Israel,educational materials,,,,,,,,,,,,,Israel
Russian,Article,/Ivrit,Hebrew,educational materials,,,,,,,,,,,,,Ivrit
Russian,Article,/Jewish+State,Israel,educational materials,,,,,,,,,,,,,Jewish+State
Russian,Article,/Jewish+State/R,Russian Aliyah,educational materials,,,,,,,,,,,,,Jewish+State/R
Russian,Article,/Jewish+State/Aliyah,Zionism,educational materials,,,,,,,,,,,,,Jewish+State/Aliyah
Russian,Article,/Jewish+State/Defence,Zionism,educational materials,,,,,,,,,,,,,Jewish+State/Defence
Russian,Article,/Jewish+State/Mandat,Zionism,educational materials,,,,,,,,,,,,,Jewish+State/Mandat
Russian,Article,/Jewish+State/Israel+-+Diaspora,Israel Diaspora Relations,educational materials,,,,,,,,,,,,,Jewish+State/Israel+-+Diaspora
Russian,Article,/Jewish+State/Actuality,Society & Politics,educational materials,,,,,,,,,,,,,Jewish+State/Actuality
Russian,Article,/Jewish+State/History+of+Zionism,Zionism,educational materials,,,,,,,,,,,,,Jewish+State/History+of+Zionism
Russian,Article,/Jewish+State/Maps,Peace & Conflict,educational materials,,,,,,,,,,,,,Jewish+State/Maps
Russian,Article,/Jewish+State/People,Leaders,educational materials,,,,,,,,,,,,,Jewish+State/People
Russian,Article,/Jewish+State/People/Ariel+Sharon,Leaders,educational materials,,,,,,,,,,,,,Jewish+State/People/Ariel+Sharon
Russian,Article,/Jewish+State/Hityashvut,Society & Politics,educational materials,,,,,,,,,,,,,Jewish+State/Hityashvut
Russian,Article,/Jewish+State/Hityashvut/Hebron,Society & Politics,educational materials,,,,,,,,,,,,,Jewish+State/Hityashvut/Hebron
Russian,Article,/Jewish+State/Congresses,Zionism,educational materials,,,,,,,,,,,,,Jewish+State/Congresses
Russian,Article,/Jewish+State/TimeLine,Timeline,educational materials,,,,,,,,,,,,,Jewish+State/TimeLine
Russian,Article,/Education/Jewish+History,Jewish History,educational materials,,,,,,,,,,,,,Education/Jewish+History
Russian,Article,/Jewish+History/40,Russian Aliyah,educational materials,,,,,,,,,,,,,Jewish+History/40
Russian,Article,/Education/Jewish+World,Demography,educational materials,,,,,,,,,,,,,Education/Jewish+World
Russian,Article,/Education/Special+Resources/Ilan+Ramon,Leaders,educational materials,,,,,,,,,,,,,Education/Special+Resources/Ilan+Ramon
Russian,Article,/Education/Special+Resources/Rambam,Jewish Culture,educational materials,,,,,,,,,,,,,Education/Special+Resources/Rambam
Russian,Article,/Education/Special+Resources/Hadraha,Activities,educational materials,,,,,,,,,,,,,Education/Special+Resources/Hadraha
Russian,Article,/Education/Special+Resources/Links,Education,article,,,,,,,,,,,,,Education/Special+Resources/Links
Russian,Article,/Israel+for+you/Magazines,Achievements,article,,,,,,,,,,,,,Israel+for+you/Magazines
Russian,Article,/Home/About+us/History,Inside The Jewish Agency,article,,,,,,,,,,,,,Home/About+us/History
Spanish,Article,/Reshet_il,Educational Resources,educational materials,,,,,,,,,,,,,Reshet_il
Spanish,Article,/Reshet_il/Proyecto+SHITUF+-+Racional,Rational,educational materials,,,,,,,,,,,,,Reshet_il/Proyecto+SHITUF+-+Racional
Spanish,Article,/Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas,Subjects,educational materials,,,,,,,,,,,,,Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas
Spanish,Article,/Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Sociedad+Israeli,Subjects,educational materials,,,,,,,,,,,,,Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Sociedad+Israeli
Spanish,Article,/Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Progreso,Subjects,educational materials,,,,,,,,,,,,,Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Progreso
Spanish,Article,/Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Folklore+y+Jaguim,Subjects,educational materials,,,,,,,,,,,,,Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Folklore+y+Jaguim
Spanish,Article,/Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Cultura,Subjects,educational materials,,,,,,,,,,,,,Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Cultura
Spanish,Article,/Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Personalidades2,Subjects,educational materials,,,,,,,,,,,,,Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Personalidades2
Spanish,Article,/Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Geografia,Subjects,educational materials,,,,,,,,,,,,,Reshet_il/Proyecto+SHITUF+-+Unidades+Tematicas/Geografia
Spanish,Article,/Reshet_il/Materiales+de+Cursos,Course Materials,educational materials,,,,,,,,,,,,,Reshet_il/Materiales+de+Cursos
Spanish,Article,/Reshet_il/Materiales+de+Cursos/hevra,Course Materials,educational materials,,,,,,,,,,,,,Reshet_il/Materiales+de+Cursos/hevra
Spanish,Article,/Reshet_il/Materiales+de+Cursos/val,Course Materials,educational materials,,,,,,,,,,,,,Reshet_il/Materiales+de+Cursos/val
Spanish,Article,/Reshet_il/Materiales+de+Cursos/persons,Course Materials,educational materials,,,,,,,,,,,,,Reshet_il/Materiales+de+Cursos/persons
Spanish,Article,/Reshet_il/Materiales+de+Cursos/peripheria,Course Materials,educational materials,,,,,,,,,,,,,Reshet_il/Materiales+de+Cursos/peripheria
Spanish,Article,/Reshet_il/Materiales+de+Cursos/years,Course Materials,educational materials,,,,,,,,,,,,,Reshet_il/Materiales+de+Cursos/years
Spanish,Article,/Reshet_il/Materiales+Educativos,Educational Materials,educational materials,,,,,,,,,,,,,Reshet_il/Materiales+Educativos
Spanish,Article,/Reshet_il/Participantes,Participants,educational materials,,,,,,,,,,,,,Reshet_il/Participantes
Spanish,Article,/Reshet_il/Proyectos+sobre+Israel,Projects about Israel,educational materials,,,,,,,,,,,,,Reshet_il/Proyectos+sobre+Israel
Spanish,Article,/Reshet_il/Proyectos+sobre+Israel/Archivo,Projects about Israel,educational materials,,,,,,,,,,,,,Reshet_il/Proyectos+sobre+Israel/Archivo
Spanish,Article,/Reshet_il/Proyectos+sobre+Israel/Articulos,Projects about Israel,educational materials,,,,,,,,,,,,,Reshet_il/Proyectos+sobre+Israel/Articulos
Spanish,Article,/Reshet_il/Proyectos+sobre+Israel/Desarrollo,Projects about Israel,educational materials,,,,,,,,,,,,,Reshet_il/Proyectos+sobre+Israel/Desarrollo
Spanish,Article,/Reshet_il/Proyectos+sobre+Israel/Criterios,Projects about Israel,educational materials,,,,,,,,,,,,,Reshet_il/Proyectos+sobre+Israel/Criterios
Spanish,Article,/Reshet_il/Proyectos+sobre+Israel/Modelos,Projects about Israel,educational materials,,,,,,,,,,,,,Reshet_il/Proyectos+sobre+Israel/Modelos
Spanish,Article,/Reshet_il/Racional+y+Criterios,Criteria,educational materials,,,,,,,,,,,,,Reshet_il/Racional+y+Criterios
